Date,Open,High,Low,Close,Volume
1996-01-01,2.402506439818324,2.402506439818324,2.319251250251641,2.362861156463623,350000
1996-01-02,2.3628608778830174,2.3985417232172983,2.3390737106746973,2.358896255493164,412000
1996-01-03,2.3588967615782717,2.3747548764527346,2.339074212507013,2.366825819015503,284000
1996-01-04,2.3668248000178393,2.362860367527866,2.3311441514338367,2.350966691970825,282000
1996-01-05,2.3509664615203105,2.362860135911489,2.3390729761726736,2.3470020294189453,189000
1996-01-08,2.34700212727086,2.3390730736940077,2.3073568593865987,2.3192503452301025,237000
1996-01-09,2.3192504874703976,2.3192504874703976,2.2201372171593245,2.243924379348755,483000
1996-01-10,2.2439244118559256,2.271676196000741,2.2280663034999066,2.2518534660339355,226000
1996-01-11,2.2518534334118985,2.2835698387080328,2.2201372171593245,2.243924379348755,318000
1996-01-12,2.243924387740071,2.247889009308249,2.220137225461687,2.239959955215454,431000
1996-01-15,2.2399602975328636,2.232031242228327,2.200315021010181,2.2122085094451904,181000
1996-01-16,2.212208106909496,2.220137160771254,2.172562837600708,2.172562837600708,358000
1996-01-17,2.1725630162946876,2.21617291064306,2.0853434166415146,2.105165958404541,429000
1996-01-18,2.1051661744744634,2.1051661744744634,2.061556275650061,2.0932726860046387,330000
1996-01-19,2.0932726314407426,2.085343576319677,2.0100174581477614,2.0258755683898926,426000
1996-01-22,2.0258755367017534,2.0536271346696076,1.9981237496903164,2.017946481704712,359000
1996-01-23,2.017946888721098,2.0615566054790397,1.9901950961121726,2.0060532093048096,399000
1996-01-24,2.006052616173288,2.006052616173288,1.9426201821578684,1.954513669013977,449000
1996-01-25,1.954513811871425,1.942620324146009,1.9109041048201278,1.9307266473770142,390000
1996-01-26,1.9307266473770142,1.9307266473770142,1.9307266473770142,1.9307266473770142,0
1996-01-29,1.9307268034409704,1.978301136275307,1.8990105815514127,1.9703720808029175,311000
1996-01-30,1.9703719777678026,2.021910930165045,1.9703719777678026,1.9981237649917603,452000
1996-01-31,1.9981238644127137,2.0893080966358317,2.02191103076958,2.0536272525787354,344000
1996-02-01,2.0536269629511668,2.220137293009504,2.0615560172852034,2.2042791843414307,424000
1996-02-02,2.204279397022752,2.3747541761746933,2.2201375072209055,2.31132173538208,819000
1996-02-05,2.3113215172210158,2.4580091172301746,2.339073301970141,2.374753952026367,906000
1996-02-06,2.3747543669653775,2.4183642680357647,2.3390737106746973,2.358896255493164,888000
1996-02-07,2.358895901982376,2.3192506292431947,2.2399600837648315,2.2716763019561768,586000
1996-02-08,2.2716755467400582,2.4976538097925176,2.287533650563721,2.414398670196533,667000
1996-02-09,2.414399533752199,2.898072251455631,2.6562357980821263,2.8941078186035156,1720000
1996-02-12,2.8941080460864086,3.009079443488401,2.7355267496218563,2.7831010818481445,2851000
1996-02-13,2.8544618865646965,2.8544618865646965,2.6364128223241345,2.7355260848999023,1451000
1996-02-14,2.7355262693788274,3.0130433476888068,2.8465330250853955,2.9416818618774414,2464000
1996-02-15,2.9416819947384534,2.9892563207613905,2.9099657773898286,2.9218592643737793,1191000
1996-02-16,2.9218588202714373,2.913929767139442,2.783100295939757,2.8227455615997314,1396000
1996-02-19,2.8227459166227082,2.894107592829516,2.7751715918472106,2.787065267562866,1297000
1996-02-20,2.787065203972362,2.787065203972362,2.620554882013708,2.6681292057037354,1361000
